ds,y
1713781976.297184,2962
1713781976.3049545,1514
1713781976.3118458,2962
1713781976.3127117,2962
1713781976.3256266,66
1713781976.325925,2962
1713781976.3297644,66
1713781976.3301308,66
1713781976.3305023,2962
1713781976.3397222,66
1713781976.340005,2962
1713781976.3475666,66
1713781976.3490844,66
1713781976.3534274,1514
1713781976.353785,2962
1713781976.3595932,2962
1713781976.3675635,66
1713781976.3678648,66
1713781976.3681643,1514
1713781976.373882,66
1713781976.3742487,66
1713781976.3750548,2962
1713781976.384046,2962
1713781976.388848,2962
1713781976.3921008,2962
1713781976.4026136,66
1713781976.4029126,66
1713781976.4032135,2962
1713781976.4091468,66
1713781976.4095142,2962
1713781976.416994,2962
1713781976.4269438,66
1713781976.427018,66
1713781976.4279442,2962
1713781976.4307723,66
1713781976.4310737,66
1713781976.4313717,66
1713781976.4316719,2962
1713781976.4447224,66
1713781976.4454613,66
1713781976.4457655,2962
1713781976.44615,2962
1713781976.4595346,1514
1713781976.461787,66
1713781976.4621603,2962
1713781976.4664247,2962
1713781976.4792128,66
1713781976.4799438,66
1713781976.4802032,66
1713781976.4805017,66
1713781976.480802,2962
1713781976.4945843,2962
1713781976.501867,2962
1713781976.5083637,66
1713781976.5091426,2962
1713781976.5141883,2962
1713781976.5224433,66
1713781976.5229542,2962
1713781976.5269668,66
1713781976.5273376,66
1713781976.5277076,66
1713781976.5280797,2962
1713781976.536525,66
1713781976.541951,2266
1713781976.55144,1514
1713781976.5575962,2962
1713781976.5576153,66
1713781976.5577965,2962
1713781976.56452,2962
1713781976.5707133,66
1713781976.5710838,66
1713781976.571452,2266
1713781976.578219,66
1713781976.584591,2962
1713781976.5846112,66
1713781976.5866945,2962
1713781976.5931983,2962
1713781976.6016445,66
1713781976.6020138,66
1713781976.6071599,2962
1713781976.6071806,66
1713781976.6141198,66
1713781976.6194365,66
1713781976.6235702,66
1713781976.6235743,2962
1713781976.6318083,2962
1713781976.6340818,66
1713781976.6478846,2962
1713781976.656461,2962
1713781976.6564658,66
1713781976.6645114,66
1713781976.6648812,66
1713781976.6695988,1514
1713781976.6696005,2962
1713781976.6754715,66
1713781976.6829915,2962
1713781976.6841848,66
1713781976.6851132,66
1713781976.6875398,2962
1713781976.696773,66
1713781976.6985598,66
1713781976.6985633,1514
1713781976.7039628,2962
1713781976.7068317,66
1713781976.7122006,2962
1713781976.717742,2962
1713781976.7236664,66
1713781976.7315223,66
1713781976.7366385,2962
1713781976.7371097,1514
1713781976.7432725,2962
1713781976.745601,66
1713781976.7459006,66
1713781976.7536805,66
1713781976.7540536,66
1713781976.7540648,66
1713781976.7540827,2962
1713781976.7544272,66
1713781976.7547958,66
1713781976.76802,66
1713781976.7681983,2962
1713781976.7682028,66
1713781976.776441,66
1713781976.7849867,66
1713781976.7902005,66
1713781976.790665,66
1713781976.7927117,66
1713781976.7927155,2962
1713781976.7931075,2962
1713781976.7992198,66
1713781976.7995195,2962
1713781976.8141146,2962
1713781976.8177598,2962
1713781976.8270795,66
1713781976.8424108,2962
1713781976.8424187,66
1713781976.85046,66
1713781976.8508296,66
1713781976.8508358,2962
1713781976.8669655,66
1713781976.8671288,2962
1713781976.8735223,2962
1713781976.8736308,66
1713781976.8777127,2962
1713781976.8815718,66
1713781976.898174,2962
1713781976.8981807,66
1713781976.908673,74
1713781976.9086895,74
1713781976.910459,66
1713781976.9104664,2962
1713781976.919038,1514
1713781976.9228258,1514
1713781976.9238603,2962
1713781976.924073,66
1713781976.9289858,2962
1713781976.93764,66
1713781976.93794,2962
1713781976.9397733,66
1713781976.9508038,2962
1713781976.9517202,66
1713781976.9520197,2962
1713781976.958855,66
1713781976.9633946,2962
1713781976.9658,66
1713781976.9660985,2962
1713781976.9762776,2962
1713781976.9798803,74
1713781976.9802158,66
1713781976.9805162,66
1713781976.9808161,2962
1713781976.9933317,2266
1713781976.9945967,66
1713781976.9972997,1514
1713781977.0017858,2962
1713781977.0155683,66
1713781977.0158653,2962
1713781977.01812,66
1713781977.0316231,66
1713781977.0321686,2962
1713781977.0398467,66
1713781977.047415,66
1713781977.0499477,2962
1713781977.061553,66
1713781977.0853732,2962
1713781977.0940263,66
1713781977.0943663,66
1713781977.0948155,2962
1713781977.094824,66
1713781977.1011543,2962
1713781977.1028676,66
1713781977.1105697,66
1713781977.1107972,2962
1713781977.1161027,2962
1713781977.1214406,66
1713781977.1418161,66
1713781977.1449015,2962
1713781977.1585898,66
1713781977.1585999,2962
1713781977.1651855,2962
1713781977.1807806,66
1713781977.19657,66
1713781977.196791,2962
1713781977.201557,66
1713781977.2032948,1514
1713781977.2150097,74
1713781977.2150247,66
1713781977.2153695,2962
1713781977.2238092,2962
1713781977.2242649,2962
1713781977.2318594,66
1713781977.2380524,66
1713781977.238344,1514
1713781977.245059,66
1713781977.245234,2962
1713781977.2455049,2962
1713781977.2590134,66
1713781977.2593143,2962
1713781977.2667634,66
1713781977.273898,2962
1713781977.2751904,66
1713781977.2987068,66
