ds,y
1713781975.7425008,74
1713781975.7745254,66
1713781975.799007,1514
1713781975.8178914,74
1713781975.8179066,54
1713781975.8424747,52
1713781975.850302,66
1713781975.85046,74
1713781975.8504744,74
1713781975.8713434,74
1713781975.8823051,66
1713781975.882333,1514
1713781975.8823378,66
1713781975.882359,1514
1713781975.8823626,66
1713781975.8902643,2962
1713781975.8902736,66
1713781975.9065683,2962
1713781975.9065778,66
1713781975.9335618,2962
1713781975.9335706,66
1713781975.9461553,2962
1713781975.9461646,66
1713781975.95889,66
1713781975.9810772,66
1713781975.9834101,2962
1713781975.9834187,66
1713781975.9959908,2962
1713781975.9959981,66
1713781976.0214698,2962
1713781976.021479,66
1713781976.0466373,2962
1713781976.0466459,66
1713781976.0715563,2962
1713781976.0715632,66
1713781976.0967414,2962
1713781976.0967486,66
1713781976.1109135,66
1713781976.1219254,1514
1713781976.121932,66
1713781976.1280951,2962
1713781976.1281016,66
1713781976.137769,66
1713781976.137779,66
1713781976.1532774,2962
1713781976.1532836,66
1713781976.1843598,2962
1713781976.1843667,66
1713781976.2095487,2962
1713781976.2095559,66
1713781976.2216432,74
1713781976.221656,54
1713781976.2344666,2962
1713781976.2344742,66
1713781976.259921,2962
1713781976.2599285,66
1713781976.284844,2962
1713781976.2848525,66
1713781976.3097596,1514
1713781976.3097868,66
1713781976.315924,2962
1713781976.3181252,66
1713781976.3408391,2962
1713781976.3408713,66
1713781976.3719213,2962
1713781976.3719559,66
1713781976.396837,2962
1713781976.3968694,66
1713781976.4214838,2962
1713781976.4214973,66
1713781976.4338062,2962
1713781976.4338167,66
1713781976.4710536,2962
1713781976.4715352,66
1713781976.4833753,1514
1713781976.489538,2962
1713781976.4895535,66
1713781976.526511,2962
1713781976.5265281,66
1713781976.5391092,2962
1713781976.5391273,66
1713781976.582251,2962
1713781976.582278,66
1713781976.5945702,2962
1713781976.5945866,66
1713781976.6194854,2962
1713781976.6195037,66
1713781976.64414,2962
1713781976.6441557,66
1713781976.6687872,1514
1713781976.6688097,66
1713781976.674951,2962
1713781976.6749659,66
1713781976.6998696,2962
1713781976.6999025,66
1713781976.7247865,2962
1713781976.7248144,66
1713781976.7556007,2962
1713781976.7580945,66
1713781976.7805207,2962
1713781976.7805417,66
1713781976.8054366,2962
1713781976.8054628,66
1713781976.8300924,2962
1713781976.8301158,66
1713781976.8547373,1514
1713781976.8608994,2962
1713781976.8620858,66
1713781976.8858488,2962
1713781976.8858774,66
1713781976.910496,2962
1713781976.9110982,66
1713781976.9413128,2266
1713781976.9420898,66
1713781976.9981208,66
1713781977.0176015,66
1713781977.0367646,66
1713781977.611026,74
1713781977.698336,74
1713781977.698347,54
1713781977.7879572,74
1713781977.7886522,52
1713781977.8783088,74
1713781977.878323,74
1713781977.883065,66
1713781977.8880732,2962
1713781977.8880804,66
1713781977.89577,2962
1713781977.8957791,66
1713781977.9120746,2962
1713781977.912083,66
1713781977.9283764,2962
1713781977.9283838,66
1713781977.944679,2962
1713781977.9446864,66
1713781977.9609814,2962
1713781977.960988,66
1713781977.9772818,2962
1713781977.9772882,66
1713781977.9939783,2962
1713781977.9939847,66
1713781977.9997888,74
1713781977.9998019,54
1713781978.010282,2962
1713781978.0102887,66
1713781978.0431623,2962
