ds,y
1713781976.046633,2962
1713781976.0466487,66
1713781976.0715532,2962
1713781976.0715663,66
1713781976.0967388,2962
1713781976.0967512,66
1713781976.1109114,66
1713781976.121923,1514
1713781976.1219351,66
1713781976.1280923,2962
1713781976.1281037,66
1713781976.1377656,66
1713781976.1377804,66
1713781976.1532738,2962
1713781976.1532862,66
1713781976.1843565,2962
1713781976.1843698,66
1713781976.2095459,2962
1713781976.2095585,66
1713781976.2172408,74
1713781976.2216928,54
1713781976.2344637,2962
1713781976.234477,66
1713781976.2599182,2962
1713781976.259931,66
1713781976.28484,2962
1713781976.2848556,66
1713781976.3097563,1514
1713781976.309789,66
1713781976.3159208,2962
1713781976.3181286,66
1713781976.3408356,2962
1713781976.3408737,66
1713781976.371918,2962
1713781976.3719587,66
1713781976.3968344,2962
1713781976.396872,66
1713781976.4214823,2962
1713781976.4214995,66
1713781976.4338048,2962
1713781976.4338188,66
1713781976.4710512,2962
1713781976.471538,66
1713781976.4833739,1514
1713781976.4895363,2962
1713781976.4895558,66
1713781976.5265088,2962
1713781976.52653,66
1713781976.5391076,2962
1713781976.5391295,66
1713781976.5822484,2962
1713781976.5822804,66
1713781976.5945675,2962
1713781976.5945888,66
1713781976.6194832,2962
1713781976.619506,66
1713781976.6441376,2962
1713781976.6441574,66
1713781976.668785,1514
1713781976.6688116,66
1713781976.674949,2962
1713781976.6749675,66
1713781976.6998675,2962
1713781976.6999047,66
1713781976.724784,2962
1713781976.7248168,66
1713781976.7555976,2962
1713781976.7580976,66
1713781976.7805188,2962
1713781976.7805433,66
1713781976.8054342,2962
1713781976.8054647,66
1713781976.8300896,2962
1713781976.830118,66
1713781976.8547347,1514
1713781976.8608975,2962
1713781976.862089,66
1713781976.8858466,2962
1713781976.8858795,66
1713781976.9104939,2962
1713781976.911101,66
1713781976.9413102,2266
1713781976.9420927,66
1713781976.998118,66
1713781977.017609,66
1713781977.0367618,66
1713781977.6144185,74
1713781977.697544,74
1713781977.6983793,54
1713781977.7885003,52
1713781977.791843,74
1713781977.8756394,74
1713781977.880586,74
1713781977.8830385,66
1713781977.8880706,2962
1713781977.8881345,66
1713781977.8957658,2962
1713781977.8957808,66
1713781977.9120681,2962
1713781977.912086,66
1713781977.928372,2962
1713781977.9283864,66
1713781977.9446728,2962
1713781977.9446893,66
1713781977.960975,2962
1713781977.9609907,66
1713781977.977276,2962
1713781977.9772909,66
1713781977.9935782,74
1713781977.9939752,2962
1713781977.9939876,66
1713781977.9998405,54
1713781978.0102766,2962
1713781978.010291,66
1713781978.0431602,2962
1713781978.04317,66
1713781978.0554848,2962
1713781978.0554938,66
1713781978.0924604,1514
1713781978.092471,66
1713781978.0986197,2962
1713781978.0986288,66
1713781978.1109464,2962
1713781978.1109552,66
1713781978.1355984,2962
1713781978.1356106,66
1713781978.1605144,2962
1713781978.160526,66
1713781978.1854334,2962
1713781978.1854453,66
1713781978.2100818,2962
1713781978.2100918,66
1713781978.2408998,2962
1713781978.240912,66
1713781978.2655442,1514
1713781978.2665079,66
1713781978.2717056,2962
1713781978.272647,66
1713781978.28403,2962
1713781978.2851093,66
1713781978.3215468,2962
1713781978.3221052,66
1713781978.33387,2962
1713781978.3340955,66
1713781978.370842,2962
1713781978.3727198,66
1713781978.3831668,2962
1713781978.384158,66
1713781978.4078164,2962
1713781978.4087853,66
1713781978.4388974,1514
1713781978.445061,2962
1713781978.4460518,66
1713781978.46998,2962
1713781978.4709482,66
1713781978.4946308,2962
1713781978.495843,66
1713781978.5192785,2962
1713781978.5202653,66
1713781978.5441961,2962
1713781978.5450344,66
1713781978.5688481,2962
1713781978.5695975,66
1713781978.5937645,2962
1713781978.594095,66
1713781978.6245768,1514
1713781978.6253831,66
1713781978.6307387,2962
1713781978.6317024,66
1713781978.655387,2962
1713781978.6563091,66
1713781978.6806068,2962
1713781978.6817434,66
1713781978.7052584,2962
1713781978.7060149,66
1713781978.7301757,2962
1713781978.73116,66
1713781978.7550943,2962
1713781978.7560766,66
1713781978.780011,2962
1713781978.7809725,66
1713781978.8110924,1514
1713781978.817255,2962
1713781978.81768,66
1713781978.8424413,2962
1713781978.842466,66
1713781978.8676271,2962
1713781978.8686695,66
1713781978.8925471,2266
1713781978.8935628,66
1713781978.9847937,66
1713781979.0022721,66
1713781979.0022876,66
1713781979.4890919,74
1713781979.5415294,74
1713781979.542353,54
1713781979.6928036,74
1713781979.800303,52
1713781979.8100507,74
1713781979.814383,66
1713781979.8146253,2962
1713781979.8224318,2962
1713781979.8629603,2962
1713781979.8664412,74
1713781979.8706536,2962
1713781979.8869548,74
1713781979.891904,66
1713781979.8921018,2962
1713781979.8921478,66
1713781979.8999531,2962
1713781979.8999662,66
1713781979.916256,2962
1713781979.9162707,66
1713781979.9325585,2962
1713781979.93257,66
1713781979.9488595,66
1713781979.948892,2962
1713781979.9492164,2962
1713781979.9565842,2962
1713781979.9655168,2962
1713781979.972888,66
1713781979.9732418,66
1713781979.9818215,66
1713781979.982173,2962
1713781979.9821854,66
1713781979.998478,2962
1713781979.9984927,66
1713781980.0147796,2962
1713781980.0147939,66
1713781980.024674,2962
1713781980.0310817,2962
1713781980.0323734,66
1713781980.0473843,2962
1713781980.047398,66
1713781980.0636873,66
1713781980.0637028,2962
1713781980.06404,66
1713781980.0643954,1514
1713781980.071395,66
1713781980.0725484,2962
1713781980.0725598,66
1713781980.0906384,2962
1713781980.090649,66
1713781980.090806,2962
1713781980.1152894,2962
1713781980.1153,66
1713781980.13719,66
1713781980.137203,2962
1713781980.139939,2962
1713781980.1448958,66
1713781980.1589065,66
1713781980.1648564,2962
1713781980.1648674,66
1713781980.1772125,1514
1713781980.1772144,2962
1713781980.190044,2962
1713781980.193057,66
1713781980.214697,2962
1713781980.2147105,66
1713781980.2393465,1514
1713781980.240381,66
1713781980.2453117,66
1713781980.245324,2962
1713781980.2455049,2962
1713781980.253017,66
1713781980.2555466,66
1713781980.2701545,2962
1713781980.2711406,66
1713781980.2742436,2962
1713781980.2824795,2962
1713781980.2830062,66
1713781980.3109262,66
1713781980.3261535,2962
1713781980.3262773,66
1713781980.3338466,66
1713781980.3338597,2962
1713781980.3387809,2962
1713781980.3415537,66
1713781980.3722723,2962
1713781980.3757539,2962
1713781980.379966,66
1713781980.3834493,66
1713781980.3880823,2962
1713781980.3895862,66
1713781980.4001057,66
1713781980.4170895,2962
1713781980.4258583,1514
1713781980.4320204,2962
1713781980.4326081,66
1713781980.4446137,2962
1713781980.4447134,66
1713781980.45959,2962
1713781980.4634655,66
1713781980.488826,2962
1713781980.490093,66
1713781980.5014193,2962
1713781980.5014403,66
1713781980.512822,66
1713781980.5128374,1514
1713781980.5128386,2962
1713781980.5271428,2962
1713781980.5286822,66
1713781980.5520623,2962
1713781980.5529537,66
1713781980.5609608,66
1713781980.5609717,2962
1713781980.5772505,2962
1713781980.5780952,66
1713781980.6024382,1514
1713781980.6029994,66
1713781980.6043978,66
1713781980.608599,2962
1713781980.6089268,66
1713781980.62611,66
1713781980.6261225,2962
1713781980.6337879,2962
1713781980.6352391,66
1713781980.6592398,2962
1713781980.659435,66
1713781980.6848788,2962
1713781980.690594,2962
1713781980.6925724,2962
1713781980.698287,66
1713781980.7088745,66
1713781980.7157774,2962
1713781980.7170105,66
1713781980.7412353,2962
1713781980.7444742,66
1713781980.7574077,66
1713781980.7574203,2962
1713781980.7578576,66
1713781980.7661502,2962
1713781980.7664506,66
1713781980.7795794,66
1713781980.7795897,2962
1713781980.79107,1514
1713781980.7972403,2962
1713781980.798006,66
1713781980.8226867,2962
1713781980.8257363,66
1713781980.8303785,66
1713781980.8481436,2962
1713781980.848167,66
1713781980.879492,2266
1713781980.8798668,1514
1713781980.879868,2962
1713781980.8957117,66
1713781980.8987935,66
1713781980.8992522,66
1713781980.9011261,2962
1713781980.9987366,66
1713781981.0078366,66
1713781981.0216987,66
1713781981.0217133,66
1713781981.0295568,66
1713781981.0295672,2962
1713781981.1289222,2962
1713781981.136614,2962
1713781981.1487696,66
1713781981.1492312,66
1713781981.1497052,66
1713781981.227348,2962
1713781981.23504,2962
1713781981.2790759,66
1713781981.3146758,1514
1713781981.344687,66
1713781981.348847,74
1713781981.3579552,74
1713781981.3619394,66
1713781981.3642426,2962
1713781981.3664055,66
1713781981.3693755,66
1713781981.371936,2962
1713781981.3882375,2962
1713781981.4002092,66
1713781981.4045405,2962
1713781981.4311192,66
1713781981.4311302,2962
1713781981.4465709,66
1713781981.4465797,2962
1713781981.4639008,66
1713781981.4856172,66
1713781981.5087197,66
1713781981.5087297,2962
1713781981.52451,66
1713781981.5245204,2962
1713781981.5623217,66
1713781981.5631468,66
1713781981.5631545,2962
1713781981.5845017,66
1713781981.5845158,66
1713781981.5943913,2962
