ds,y
1713793665.911028,66
1713793665.9127111,2962
1713793665.9305682,2962
1713793665.9458787,66
1713793665.9465601,74
1713793665.9481552,54
1713793665.9657862,2962
1713793665.980352,66
1713793665.983196,1514
1713793665.983199,2962
1713793665.9945645,74
1713793666.0007334,66
1713793666.0022352,2962
1713793666.0070932,66
1713793666.0074608,66
1713793666.014011,2962
1713793666.0176892,66
1713793666.0294673,2962
1713793666.0449233,2962
1713793666.0621786,2962
1713793666.0770226,66
1713793666.081242,74
1713793666.0933816,74
1713793666.095472,66
1713793666.0966568,66
1713793666.096673,2962
1713793666.0994155,66
1713793666.1140792,2962
1713793666.121632,2962
1713793666.1218286,66
1713793666.1289356,2962
1713793666.128967,66
1713793666.131487,2962
1713793666.1443894,66
1713793666.1447244,2962
1713793666.144752,66
1713793666.1485608,2962
1713793666.1601808,2962
1713793666.1602144,66
1713793666.1756349,2962
1713793666.175668,66
1713793666.1837761,2962
1713793666.1911147,66
1713793666.1914225,66
1713793666.1917596,2962
1713793666.1917844,66
1713793666.2012045,2962
1713793666.2072144,2962
1713793666.208513,66
1713793666.222669,2962
1713793666.2227561,66
1713793666.2364054,2962
1713793666.238114,66
1713793666.2384508,2962
1713793666.2437198,66
1713793666.253906,2962
1713793666.253924,66
1713793666.2698925,2962
1713793666.269919,66
1713793666.2719963,2962
1713793666.2792935,2962
1713793666.2848225,66
1713793666.2851486,1514
1713793666.2928796,2962
1713793666.2947745,66
1713793666.295079,1514
1713793666.302809,66
1713793666.3083339,2962
1713793666.3083549,66
1713793666.323784,66
1713793666.3241217,2962
1713793666.3241389,66
1713793666.3395715,66
1713793666.3399112,66
1713793666.3402445,2962
1713793666.3402574,66
1713793666.3557081,66
1713793666.356041,2962
1713793666.3560603,66
1713793666.367688,2962
1713793666.3714945,66
1713793666.3743305,2962
1713793666.3749845,66
1713793666.3779252,74
1713793666.3851595,2962
1713793666.3872843,66
1713793666.3876219,2962
1713793666.392456,66
1713793666.4030747,66
1713793666.4113023,1514
1713793666.4113622,66
1713793666.4174674,2962
1713793666.4174948,66
1713793666.4265933,66
1713793666.4269295,66
1713793666.426946,66
1713793666.4297895,2962
1713793666.4301572,66
1713793666.4441934,74
1713793666.4471571,54
1713793666.4474351,66
1713793666.4474475,1514
1713793666.447449,2962
1713793666.454441,2962
1713793666.4624667,66
1713793666.4667606,2962
1713793666.4667819,66
1713793666.4815497,2962
1713793666.4832158,66
1713793666.491416,2962
1713793666.4914804,66
1713793666.5037408,2962
1713793666.5037677,66
1713793666.5160813,2962
1713793666.537349,2962
1713793666.5373914,66
1713793666.5528035,52
1713793666.5530639,66
1713793666.5592046,2962
1713793666.5601368,2962
1713793666.5674326,66
1713793666.5688574,66
1713793666.5715277,2962
1713793666.5725534,66
1713793666.596174,2962
1713793666.5961988,66
1713793666.6085002,2962
1713793666.6085215,66
1713793666.6294594,2962
1713793666.6331515,2962
1713793666.6367548,66
1713793666.6415734,66
1713793666.6454751,2962
1713793666.6454997,66
1713793666.6577992,1514
1713793666.658098,66
1713793666.6639602,2962
1713793666.6639829,66
1713793666.6947813,2962
1713793666.69482,66
1713793666.699071,2962
1713793666.7067559,66
1713793666.7070975,2962
1713793666.7071235,66
1713793666.7130675,74
1713793666.73175,2962
1713793666.7331417,66
1713793666.744073,2962
1713793666.7440956,66
1713793666.7563984,2962
1713793666.793372,1514
1713793666.799539,2962
1713793666.8010476,66
1713793666.8118646,2962
1713793666.812422,66
1713793666.828087,66
1713793666.8280993,2962
1713793666.8365133,2962
1713793666.836535,66
1713793666.8488367,2266
1713793666.8801003,74
1713793666.8807886,66
1713793666.8808045,1514
1713793666.8808064,2962
1713793666.8958302,66
1713793666.9493666,66
1713793666.9493814,2962
1713793666.9623852,74
1713793667.0016377,66
1713793667.0101748,2962
1713793667.0101902,66
1713793667.0276535,2962
1713793667.027692,66
1713793667.0624692,66
1713793667.0624833,2962
1713793667.1084929,66
1713793667.1085067,2962
1713793667.109848,74
1713793667.1158013,54
1713793667.1744418,2962
1713793667.1781387,66
1713793667.2092896,66
1713793667.2093081,2962
1713793667.2267804,66
1713793667.2267978,2962
1713793667.2782757,2962
1713793667.278289,66
1713793667.3305428,2962
1713793667.3305557,66
1713793667.3650157,66
1713793667.365027,2962
1713793667.3820727,66
1713793667.382084,2962
1713793667.4339745,1514
1713793667.4339757,2962
1713793667.4412816,66
1713793667.4936564,2962
1713793667.4980047,66
1713793667.5199366,2962
1713793667.5228229,66
1713793667.5540206,66
1713793667.5540338,2962
1713793667.5613317,74
1713793667.586163,66
1713793667.5949638,66
1713793667.5949848,66
1713793667.6140964,2962
1713793667.614117,66
1713793667.6368647,74
1713793667.675701,2962
1713793667.6758678,66
1713793667.686439,74
1713793667.6904876,54
1713793667.7109249,1514
1713793667.7109282,2962
1713793667.7450306,2962
1713793667.7864926,66
1713793667.7969308,2962
1713793667.8042848,66
1713793667.8395047,66
1713793667.849241,2962
1713793667.8759465,2962
1713793667.8921976,66
1713793667.8971386,74
1713793667.9024117,54
1713793667.9104176,2962
1713793667.9522543,66
1713793667.9526193,66
1713793667.9626818,2962
1713793667.987473,66
1713793668.0152614,1514
1713793668.0330596,2962
1713793668.0401626,66
1713793668.0678396,2962
1713793668.0924375,66
1713793668.109857,66
1713793668.1409903,74
1713793668.1532335,66
1713793668.1799212,66
1713793668.182811,2962
1713793668.2151425,66
1713793668.2185137,74
1713793668.2204764,54
1713793668.225822,1514
1713793668.225824,2962
1713793668.2329817,66
1713793668.2333534,66
1713793668.240842,66
1713793668.2685797,66
1713793668.2977853,2962
1713793668.3252962,74
1713793668.341157,2962
1713793668.3812737,66
1713793668.412645,2962
1713793668.416123,66
1713793668.4168634,66
1713793668.425642,52
1713793668.430111,2962
1713793668.4698794,66
1713793668.4873037,66
1713793668.5176063,2962
1713793668.5345411,74
1713793668.5356863,2962
1713793668.5429819,54
1713793668.600307,74
1713793668.6004179,66
1713793668.610387,74
1713793668.613768,66
1713793668.61784,66
1713793668.6306534,2962
1713793668.630723,66
1713793668.632122,1514
1713793668.632123,2962
1713793668.6379492,2962
1713793668.647146,66
1713793668.6495523,2962
1713793668.6534016,2962
1713793668.6629353,66
1713793668.6688552,2962
1713793668.668871,66
1713793668.6843112,2962
1713793668.684323,66
1713793668.6997643,2962
1713793668.6997795,66
1713793668.7152207,2962
1713793668.7152386,66
1713793668.7306745,2962
1713793668.730693,66
1713793668.746127,66
1713793668.7464614,2962
