ds,y
1713549674.8967896,52
1713549674.9444199,74
1713549674.95704,74
1713549674.96716,66
1713549674.967168,1514
1713549674.9671779,1514
1713549674.9672878,66
1713549674.967293,66
1713549674.974027,2962
1713549674.9740393,66
1713549674.9911606,2962
1713549674.991183,66
1713549675.0078113,2962
1713549675.0078316,66
1713549675.0248106,2962
1713549675.0248322,66
1713549675.0416596,2962
1713549675.0416827,66
1713549675.0589457,2962
1713549675.058968,66
1713549675.0754702,2962
1713549675.075495,66
1713549675.0836394,74
1713549675.0922687,2962
1713549675.0922875,66
1713549675.1092176,2962
1713549675.1092415,66
1713549675.1264648,1514
1713549675.1264806,66
1713549675.1281705,74
1713549675.1299777,54
1713549675.1349692,2962
1713549675.1349947,66
1713549675.1518095,2962
1713549675.1518312,66
1713549675.1686957,2962
1713549675.1687176,66
1713549675.1855829,2962
1713549675.1856036,66
1713549675.2024763,2962
1713549675.2024987,66
1713549675.2193549,2962
1713549675.2193677,66
1713549675.2362447,2962
1713549675.236257,66
1713549675.2531438,1514
1713549675.2533019,66
1713549675.2615957,2962
1713549675.2626336,66
1713549675.2788813,2962
1713549675.2798848,66
1713549675.2958076,2962
1713549675.2958856,66
1713549675.3126676,2962
1713549675.3139734,66
1713549675.3302903,2962
1713549675.3314772,66
1713549675.3475595,2962
1713549675.347924,66
1713549675.3648143,2962
1713549675.3698115,66
1713549675.3820686,1514
1713549675.3905346,2962
1713549675.3920853,66
1713549675.4077723,2962
1713549675.413065,66
1713549675.4250302,2962
1713549675.4276013,66
1713549675.442327,2962
1713549675.444945,66
1713549675.4595468,2962
1713549675.4623873,66
1713549675.4768052,2962
1713549675.4793828,66
1713549675.494067,2962
1713549675.4959083,66
1713549675.5113244,1514
1713549675.5138946,66
1713549675.5197716,2962
1713549675.5198762,66
1713549675.5370271,2962
1713549675.5381615,66
1713549675.5546532,2962
1713549675.5558639,66
1713549675.5719142,2962
1713549675.5736916,66
1713549675.5891726,2962
1713549675.5904808,66
1713549675.6064336,2962
1713549675.611001,66
1713549675.6236885,2962
1713549675.6237202,66
1713549675.6405911,1514
1713549675.6469147,74
1713549675.6490245,2962
1713549675.6530497,66
1713549675.6666481,2962
1713549675.6666753,66
1713549675.6839073,2962
1713549675.683935,66
1713549675.7015803,2962
1713549675.7030602,66
1713549675.7073917,74
1713549675.7093432,54
1713549675.7188396,2266
1713549675.7188697,66
1713549675.7329526,66
1713549675.7345319,66
1713549675.734568,66
1713549675.888021,74
1713549675.8996468,74
1713549675.9106364,66
1713549675.920006,2962
1713549675.9201035,66
1713549675.926655,2962
1713549675.9266748,66
1713549675.9407396,2962
1713549675.9407532,66
1713549675.9548385,2962
1713549675.9548604,66
1713549675.9693844,2962
1713549675.9694068,66
1713549675.9752116,74
1713549675.98217,74
1713549675.9829972,2962
1713549675.983009,66
1713549675.9906223,66
1713549675.9970858,2962
1713549675.9970984,66
1713549676.0073574,2962
1713549676.0074482,66
1713549676.0152278,2962
1713549676.0152748,66
1713549676.0275261,2962
1713549676.0275533,66
1713549676.039836,2962
1713549676.039864,66
1713549676.052148,2962
1713549676.0521646,66
1713549676.0644588,2962
1713549676.0644777,66
1713549676.076769,2962
1713549676.0767853,66
1713549676.089083,2962
1713549676.0891027,66
1713549676.1013947,2962
1713549676.1014166,66
1713549676.113751,1514
1713549676.1137815,66
1713549676.1198766,2962
1713549676.1199267,66
1713549676.1321769,2962
1713549676.1322057,66
1713549676.144488,2962
1713549676.1445136,66
1713549676.1568067,2962
1713549676.1568367,66
1713549676.1691108,2962
1713549676.169127,66
1713549676.1814268,2962
1713549676.1814647,66
1713549676.19374,2962
1713549676.193767,66
1713549676.2060447,2962
1713549676.2060606,66
1713549676.2081141,74
1713549676.2183592,2962
1713549676.2183778,66
1713549676.2307255,2962
1713549676.2307572,66
1713549676.2429907,2962
1713549676.2430196,66
1713549676.2553003,2962
1713549676.25533,66
1713549676.2676191,2962
1713549676.2676551,66
1713549676.279921,74
1713549676.280216,1514
1713549676.2802415,66
1713549676.286172,54
1713549676.286374,2962
1713549676.2863853,66
1713549676.2986925,1514
1713549676.2994413,66
1713549676.3048403,2962
1713549676.3048594,66
1713549676.317156,2962
1713549676.3171842,66
1713549676.3294663,2962
1713549676.330927,66
1713549676.3417861,2962
1713549676.3418157,66
1713549676.3541012,2962
1713549676.355037,66
1713549676.3664212,2962
1713549676.3664677,66
1713549676.3788064,2962
1713549676.3799794,66
1713549676.391035,2962
1713549676.3910663,66
1713549676.403348,2962
1713549676.404401,66
1713549676.415652,2962
1713549676.4156723,66
1713549676.4279666,2962
1713549676.429541,66
1713549676.4402726,2962
1713549676.4402947,66
1713549676.452584,2962
1713549676.4553912,66
1713549676.464894,1514
1713549676.4658773,66
1713549676.471053,2962
1713549676.471807,66
1713549676.4833639,1514
1713549676.4895194,2962
1713549676.489541,66
1713549676.5018356,2962
1713549676.502816,66
1713549676.5141523,2962
1713549676.5152194,66
1713549676.5264554,2962
1713549676.5290322,66
1713549676.5387714,2962
1713549676.539911,66
1713549676.5510821,2962
1713549676.5520842,66
1713549676.5634022,2962
1713549676.5643518,66
1713549676.5757077,2962
1713549676.5780144,66
1713549676.5880187,2962
1713549676.5900548,66
1713549676.6003268,2962
1713549676.6013021,66
1713549676.612639,2962
1713549676.6143053,66
1713549676.6249495,2962
1713549676.6257703,66
1713549676.637262,2962
1713549676.6380665,66
1713549676.6495714,1514
1713549676.6505747,66
1713549676.6557567,2962
1713549676.6567876,66
1713549676.6680496,1514
1713549676.6741993,2962
1713549676.68064,66
1713549676.6865165,2962
1713549676.686959,66
1713549676.6988301,2962
1713549676.6998324,66
1713549676.7111645,2962
1713549676.7136464,66
1713549676.7234485,2962
1713549676.724407,66
1713549676.7357695,2962
1713549676.7367918,66
1713549676.7480705,2962
1713549676.749081,66
1713549676.7603831,2962
1713549676.7624269,66
1713549676.7726936,2962
1713549676.7744699,66
1713549676.7826846,74
1713549676.7850015,2962
1713549676.7853274,66
1713549676.7973154,2962
1713549676.7976022,66
1713549676.8096263,2962
1713549676.8109903,66
1713549676.821951,2962
1713549676.8220427,66
1713549676.8342576,1514
1713549676.8346276,66
1713549676.8404112,2962
1713549676.841164,66
1713549676.8527243,1514
1713549676.8588827,2962
1713549676.85989,66
1713549676.87119,52
1713549676.8713944,2962
1713549676.8746471,66
