ds,y
1713856038.3051326,52
1713856040.2300248,52
1713856042.1214042,52
1713856044.036131,52
1713856045.9332922,52
1713856047.8291116,52
1713856049.7282956,52
1713856050.527427,70
1713856050.5712671,70
1713856051.6646824,52
1713856052.56834,70
1713856053.7689528,52
1713856054.6097226,70
1713856055.7113755,52
1713856056.7605646,70
1713856057.632814,52
1713856058.7345974,70
1713856058.7370048,70
1713856058.7420816,70
1713856059.507832,52
1713856060.7580833,70
1713856060.7640076,70
1713856060.7640493,70
1713856060.7682676,70
1713856061.4253674,52
1713856062.8003206,70
1713856062.8102758,70
1713856062.9371533,70
1713856063.5561385,52
1713856064.8397374,70
1713856064.8428674,70
1713856064.8560848,70
1713856065.4597611,52
1713856066.9129643,70
1713856066.928125,70
1713856067.4254947,52
1713856069.4919746,52
1713856071.380684,52
