timestamp,datapath_id,flow_id,ip_src,tp_src,ip_dst,tp_dst,ip_proto,icmp_code,icmp_type,flow_duration_sec,flow_duration_nsec,idle_timeout,hard_timeout,flags,packet_count,byte_count,packet_count_per_second,packet_count_per_nsecond,byte_count_per_second,byte_count_per_nsecond,label
1699463171.369353,3,10.0.0.114343710.0.0.1505117,10.0.0.11,43437,10.0.0.1,5051,17,-1,-1,1,329000000,20,100,0,90,136080,90.0,2.7355623100303953e-07,136080.0,0.00041361702127659574,0
1699463171.369353,3,10.0.0.114343710.0.0.550511,10.0.0.11,43437,10.0.0.5,5051,1,0,8,11,408000000,20,100,0,11,1054,1.0,2.696078431372549e-08,95.81818181818181,2.5833333333333333e-06,0
1699463171.369353,3,10.0.0.54343710.0.0.1150511,10.0.0.5,43437,10.0.0.11,5051,1,0,0,11,402000000,20,100,0,10,980,0.9090909090909091,2.4875621890547265e-08,89.0909090909091,2.437810945273632e-06,0
1699463171.371355,4,10.0.0.1505010.0.0.11465646,10.0.0.1,5050,10.0.0.11,46564,6,-1,-1,11,396000000,20,100,0,1051808,69419328,95618.90909090909,0.002656080808080808,6310848.0,0.17530133333333334,0
1699463171.371355,4,10.0.0.114656410.0.0.150506,10.0.0.11,46564,10.0.0.1,5050,6,-1,-1,11,407000000,20,100,0,1270830,58590352348,115530.0,0.0031224324324324324,5326395668.0,143.9566396756757,0
1699463171.371355,4,10.0.0.114343710.0.0.1505117,10.0.0.11,43437,10.0.0.1,5051,17,-1,-1,1,329000000,20,100,0,90,136080,90.0,2.7355623100303953e-07,136080.0,0.00041361702127659574,0
1699463171.371355,4,10.0.0.114343710.0.0.550511,10.0.0.11,43437,10.0.0.5,5051,1,0,8,11,410000000,20,100,0,11,1054,1.0,2.682926829268293e-08,95.81818181818181,2.5707317073170734e-06,0
1699463171.371355,4,10.0.0.54343710.0.0.1150511,10.0.0.5,43437,10.0.0.11,5051,1,0,0,11,399000000,20,100,0,10,980,0.9090909090909091,2.506265664160401e-08,89.0909090909091,2.456140350877193e-06,0
1699463181.345594,2,10.0.0.1505010.0.0.11465646,10.0.0.1,5050,10.0.0.11,46564,6,-1,-1,21,392000000,20,100,0,1051808,69419328,50086.09523809524,0.002683183673469388,3305682.285714286,0.1770901224489796,0
1699463181.345594,2,10.0.0.18010.0.0.11416626,10.0.0.1,80,10.0.0.11,41662,6,-1,-1,1,208000000,20,100,0,0,0,0.0,0.0,0.0,0.0,0
1699463181.345594,2,10.0.0.18010.0.0.11416766,10.0.0.1,80,10.0.0.11,41676,6,-1,-1,1,199000000,20,100,0,0,0,0.0,0.0,0.0,0.0,0
1699463181.345594,2,10.0.0.1505110.0.0.114343717,10.0.0.1,5051,10.0.0.11,43437,17,-1,-1,1,294000000,20,100,0,0,0,0.0,0.0,0.0,0.0,0
1699463181.345594,2,10.0.0.1505010.0.0.18538306,10.0.0.1,5050,10.0.0.18,53830,6,-1,-1,1,167000000,20,100,0,40215,2654190,40215.0,0.00024080838323353292,2654190.0,0.015893353293413175,0
1699463181.345594,2,10.0.0.114656410.0.0.150506,10.0.0.11,46564,10.0.0.1,5050,6,-1,-1,21,403000000,20,100,0,1270830,58590352348,60515.71428571428,0.003153424317617866,2790016778.4761906,145.38548969727046,0
1699463181.345594,2,10.0.0.114166210.0.0.1806,10.0.0.11,41662,10.0.0.1,80,6,-1,-1,1,210000000,20,100,0,0,0,0.0,0.0,0.0,0.0,0
1699463181.345594,2,10.0.0.114167610.0.0.1806,10.0.0.11,41676,10.0.0.1,80,6,-1,-1,1,200000000,20,100,0,0,0,0.0,0.0,0.0,0.0,0
