ds,y
1713781976.0720387,2962
1713781976.0785565,66
1713781976.079018,1514
1713781976.089647,2962
1713781976.093292,2962
1713781976.1109014,66
1713781976.1113644,66
1713781976.1118274,2962
1713781976.1145482,66
1713781976.1150098,66
1713781976.1154733,66
1713781976.115935,66
1713781976.1163983,2962
1713781976.1330833,66
1713781976.1339507,66
1713781976.1340063,66
1713781976.1344693,2962
1713781976.137653,2962
1713781976.1557255,2962
1713781976.1589074,66
1713781976.1593702,2962
1713781976.176982,66
1713781976.1774426,2962
1713781976.180631,66
1713781976.181096,2962
1713781976.1986969,74
1713781976.1992166,66
1713781976.1996782,2962
1713781976.202342,66
1713781976.2028048,66
1713781976.2032664,2962
1713781976.220934,66
1713781976.2213957,2962
1713781976.2245224,2962
1713781976.2426486,66
1713781976.2431114,2962
1713781976.2457771,2962
1713781976.2643657,66
1713781976.2648268,66
1713781976.265292,2962
1713781976.2670286,66
1713781976.267491,66
1713781976.2679527,66
1713781976.268419,66
1713781976.2688818,66
1713781976.269343,66
1713781976.2698085,2962
1713781976.2865486,1514
1713781976.2910616,2962
1713781976.2971752,2962
1713781976.3123171,2962
1713781976.3184297,66
1713781976.3188915,2962
1713781976.3335707,74
1713781976.3340883,66
1713781976.3345535,2962
1713781976.340144,66
1713781976.3406081,2962
1713781976.3558083,66
1713781976.35627,54
1713781976.356649,66
1713781976.3571117,2962
1713781976.361863,66
1713781976.3623254,2962
1713781976.3783653,66
1713781976.378829,66
1713781976.37929,2962
1713781976.3835776,66
1713781976.38404,2962
1713781976.4005468,2962
1713781976.4052958,66
1713781976.405759,2962
1713781976.4217992,66
1713781976.422262,1514
1713781976.427013,66
1713781976.4274747,66
1713781976.4279392,2962
1713781976.4328914,66
1713781976.433353,2962
1713781976.4491954,66
1713781976.449658,2962
1713781976.4546087,2962
1713781976.4709146,74
1713781976.4714289,66
1713781976.4718933,1514
1713781976.475864,66
1713781976.476325,66
1713781976.4767883,2962
1713781976.4825199,2962
1713781976.4980412,66
1713781976.4985025,1514
1713781976.503774,66
1713781976.5042367,2962
1713781976.509132,2962
1713781976.5254917,66
1713781976.5259547,2962
1713781976.5303845,1514
1713781976.541012,66
1713781976.5414748,66
1713781976.5419388,2962
1713781976.5472078,66
1713781976.54767,2962
1713781976.5631971,54
1713781976.5635927,66
1713781976.5640366,66
1713781976.5644999,2962
1713781976.5689275,66
1713781976.5693893,2266
1713781976.5857594,66
1713781976.5857618,66
1713781976.5862155,66
1713781976.5862198,1514
1713781976.586681,2962
1713781976.596849,2962
1713781976.6079342,2962
1713781976.618101,66
1713781976.6185656,66
1713781976.619029,2962
1713781976.6291885,66
1713781976.6296513,66
1713781976.6301134,66
1713781976.6305761,66
1713781976.6310399,2266
1713781976.6402898,2962
1713781976.6474102,66
1713781976.6478724,2962
1713781976.6615372,66
1713781976.662,66
1713781976.6624634,66
1713781976.6629264,2962
1713781976.6691265,66
1713781976.66959,2962
1713781976.684179,66
1713781976.6846406,66
1713781976.685107,66
1713781976.6855702,2962
1713781976.6908448,66
1713781976.6913073,66
1713781976.6917708,66
1713781976.692883,66
1713781976.7068233,66
1713781976.7072868,2266
1713781976.7106733,2962
1713781976.723657,66
1713781976.7241223,2962
1713781976.724247,66
1713781976.724517,66
1713781976.7281024,1514
1713781976.7366283,2962
1713781976.7453735,66
1713781976.7458355,66
1713781976.746299,66
1713781976.7467625,2962
1713781976.7535095,66
1713781976.767922,66
1713781976.7680154,66
1713781976.768479,66
1713781976.76894,2962
1713781976.7695296,66
1713781976.7901945,66
1713781976.7906594,66
1713781976.7911236,2962
1713781976.7928395,66
1713781976.7966835,2962
1713781976.8081696,66
1713781976.812378,74
1713781976.812897,1514
1713781976.814106,2962
1713781976.8235252,2962
1713781976.8284302,66
1713781976.831906,66
1713781976.8327005,66
1713781976.8447783,66
1713781976.8452408,66
1713781976.8457043,2962
1713781976.8633747,66
1713781976.8669577,66
1713781976.8671205,2962
1713781976.8674212,2962
1713781976.8771496,74
1713781976.884181,2962
1713781976.8886762,74
1713781976.8891947,2962
1713781976.8989217,66
1713781976.9100962,66
1713781976.9104488,66
1713781976.9109108,66
1713781976.9113748,2962
1713781976.9190283,2962
1713781976.9326289,2962
1713781976.9538746,2962
1713781976.9538846,66
1713781976.954347,2962
1713781976.9639037,66
1713781976.964379,66
1713781976.9713426,1514
1713781976.9756002,2962
1713781976.9756248,66
1713781976.9759204,66
1713781976.9769404,74
1713781976.9798706,2962
1713781976.9968538,2962
1713781976.999229,66
1713781977.0181074,66
1713781977.0185695,2962
1713781977.032154,2962
1713781977.039823,66
1713781977.0402892,2962
1713781977.0421834,66
1713781977.049937,2962
1713781977.0615418,66
1713781977.0620043,1514
1713781977.0638998,66
1713781977.0703936,74
1713781977.0726366,2962
1713781977.0938864,66
1713781977.0943606,66
1713781977.0944397,66
1713781977.0947702,66
1713781977.0948112,2962
1713781977.110783,2962
1713781977.1160755,2962
1713781977.1278386,2962
1713781977.137326,2962
1713781977.142067,66
1713781977.1585748,66
1713781977.1590383,2962
1713781977.1620672,66
1713781977.1677718,66
1713781977.1793628,2962
1713781977.1802914,2962
1713781977.1964135,66
1713781977.201546,66
1713781977.2020094,74
1713781977.202529,2962
1713781977.212364,66
1713781977.2138364,2962
1713781977.223785,2962
1713781977.2284904,66
1713781977.2450488,66
1713781977.2454991,2962
1713781977.2649992,1514
1713781977.2667527,66
1713781977.2672138,2962
1713781977.2672265,66
1713781977.2736182,66
1713781977.2738924,2962
1713781977.2884707,2962
1713781977.2909555,2962
1713781977.307835,66
1713781977.3082988,66
1713781977.309724,66
1713781977.3101878,2962
1713781977.3314402,2962
1713781977.3339508,66
1713781977.3457415,66
1713781977.351371,2962
1713781977.3527021,66
1713781977.3531585,2962
1713781977.3744113,2962
1713781977.3773274,66
1713781977.385478,2962
1713781977.3956676,66
1713781977.3961315,2962
1713781977.3961537,66
1713781977.40253,2962
1713781977.4173834,66
1713781977.4178462,66
1713781977.41831,66
1713781977.418773,2962
1713781977.4195817,66
1713781977.4300907,66
1713781977.4400268,2962
1713781977.4540584,66
1713781977.4544275,66
1713781977.4547966,2962
1713781977.4612815,2962
1713781977.465014,66
1713781977.471854,2962
1713781977.4825335,66
1713781977.4829984,2962
1713781977.4952476,66
1713781977.5042524,2962
1713781977.5059595,2962
1713781977.5255058,66
1713781977.5259707,1514
1713781977.525986,66
1713781977.5365968,2962
1713781977.5400639,2962
1713781977.550091,66
1713781977.5571303,66
1713781977.5574841,66
1713781977.5578501,66
1713781977.557859,2962
1713781977.5583117,2962
1713781977.5727363,66
1713781977.5795665,66
1713781977.5800307,1514
1713781977.5906558,2962
1713781977.596713,66
1713781977.6119235,2962
1713781977.6128335,66
1713781977.617537,1514
1713781977.626074,2962
1713781977.6331656,66
1713781977.6336288,2962
1713781977.6431208,2962
1713781977.6548817,2962
1713781977.6676013,66
1713781977.6761353,66
1713781977.6766,66
1713781977.6770632,2962
1713781977.6770792,66
1713781977.6942766,2962
1713781977.6983166,66
1713781977.698779,2962
1713781977.7043061,66
1713781977.711329,66
1713781977.7117,66
1713781977.7120705,2962
1713781977.7200334,2962
1713781977.7269485,66
1713781977.7412877,66
1713781977.741753,66
1713781977.7422137,2962
1713781977.7422512,2962
1713781977.7522795,66
1713781977.7593105,2962
1713781977.7634678,1514
1713781977.7740936,2962
1713781977.7763662,2962
1713781977.7952518,52
1713781977.795348,66
1713781977.7956157,66
1713781977.7958121,2962
1713781977.7960796,66
1713781977.7965434,1514
1713781977.8071704,74
1713781977.807689,2962
1713781977.817066,2962
1713781977.828946,66
1713781977.8294065,2962
1713781977.8383207,66
1713781977.8387833,2962
1713781977.8506594,66
1713781977.8511238,2962
1713781977.8600385,66
1713781977.860501,2962
1713781977.872379,66
1713781977.8728406,2962
1713781977.881755,2962
1713781977.8940933,66
1713781977.8945582,2962
1713781977.9030082,66
1713781977.9034717,66
1713781977.903935,2962
1713781977.9158108,66
1713781977.9162748,2962
1713781977.9251885,66
1713781977.9256525,2962
1713781977.93753,2962
1713781977.9469063,66
1713781977.9473693,74
1713781977.9478886,66
1713781977.9483514,2962
1713781977.958797,66
1713781977.9592457,1514
1713781977.9696066,66
1713781977.969873,2962
1713781977.9700725,1514
1713781977.9806957,2962
1713781977.9911263,66
1713781977.99159,2962
1713781978.0019503,66
1713781978.0024135,2962
1713781978.0128446,66
1713781978.013307,2962
1713781978.0236654,66
1713781978.0241303,1514
1713781978.03456,54
1713781978.0347562,2962
1713781978.0349398,66
1713781978.0354025,66
1713781978.035866,2962
1713781978.0560112,66
1713781978.0564742,2962
1713781978.0571206,66
1713781978.057584,2962
1713781978.0777276,66
1713781978.078191,2962
1713781978.0788376,2962
1713781978.0994453,66
1713781978.0999088,2962
1713781978.1000903,66
1713781978.100555,66
1713781978.1010187,2962
1713781978.1211624,66
1713781978.121626,66
1713781978.122087,2962
1713781978.1222718,1514
1713781978.1328993,66
1713781978.1433425,66
1713781978.1438062,2962
1713781978.1450016,66
1713781978.1585052,74
1713781978.160251,66
1713781978.1650608,66
1713781978.165523,2962
1713781978.1658413,66
1713781978.185167,66
1713781978.1867774,66
1713781978.1872401,2962
1713781978.1872563,66
1713781978.2084932,66
1713781978.2089574,66
1713781978.2094204,1514
1713781978.216613,66
1713781978.2200475,2962
1713781978.2253678,66
1713781978.2413018,2962
1713781978.2625535,66
1713781978.263019,2962
1713781978.2842724,66
1713781978.2847345,66
1713781978.2850752,66
1713781978.2851992,2962
1713781978.2861116,66
1713781978.296371,66
1713781978.3064513,74
1713781978.306972,2962
1713781978.3089528,66
1713781978.3103411,66
1713781978.3177404,66
1713781978.318523,2962
1713781978.3282275,2962
1713781978.3285522,2962
1713781978.3494813,2962
1713781978.349806,66
1713781978.3502686,2962
1713781978.3707323,2962
1713781978.3715234,66
1713781978.3719864,2962
1713781978.391987,2962
1713781978.39324,2962
1713781978.4132404,2962
1713781978.4144945,66
1713781978.4201438,66
1713781978.4344938,2962
1713781978.43671,66
1713781978.4557488,66
1713781978.4559286,2962
1713781978.4562137,2962
1713781978.4659576,66
1713781978.466422,66
1713781978.4668849,2962
1713781978.4774668,66
1713781978.4779303,66
1713781978.4783928,1514
1713781978.488138,2962
1713781978.4890206,2962
1713781978.5093932,2962
1713781978.5102744,2962
1713781978.5306447,2962
1713781978.531528,66
1713781978.5319963,2962
1713781978.5518992,66
1713781978.5523622,2962
1713781978.5532467,66
1713781978.5537074,1514
1713781978.5643363,2962
1713781978.5736172,1514
1713781978.5842438,66
1713781978.5847077,2962
1713781978.5855901,2962
1713781978.6059618,2962
1713781978.6068437,66
1713781978.607307,2962
1713781978.6272147,66
1713781978.627678,66
1713781978.6281514,2962
1713781978.6285605,66
1713781978.6290236,66
1713781978.629487,2962
1713781978.6493955,66
1713781978.64986,66
1713781978.6503215,1514
1713781978.6507409,66
1713781978.6512036,2962
1713781978.6609488,66
1713781978.661411,74
1713781978.6619313,2962
1713781978.672458,66
1713781978.6729207,2962
1713781978.6831965,2962
1713781978.694175,66
1713781978.6946383,2962
1713781978.704439,66
1713781978.7048998,2962
1713781978.7158966,66
1713781978.716356,66
1713781978.7168188,66
1713781978.717282,1514
1713781978.7261548,66
1713781978.7266197,2962
1713781978.7279088,2962
1713781978.7478728,66
1713781978.749163,2962
1713781978.7493672,66
1713781978.7512558,2962
1713781978.7704167,66
1713781978.77088,2962
1713781978.7824993,2962
1713781978.7921333,66
1713781978.7926004,2962
1713781978.795674,66
1713781978.797954,66
1713781978.8138506,74
1713781978.814083,2962
1713781978.8143697,66
1713781978.8148346,2962
1713781978.8303452,66
1713781978.8360884,66
1713781978.8365507,66
1713781978.8370137,66
1713781978.8374784,2962
1713781978.8421748,66
1713781978.843062,66
1713781978.8433695,2962
1713781978.8587313,2962
1713781978.8604286,2962
1713781978.874807,2962
1713781978.8799834,66
1713781978.880447,2962
1713781978.8960617,66
1713781978.8965242,2962
1713781978.9017026,66
1713781978.9021652,2962
1713781978.9177794,2962
1713781978.923419,2962
1713781978.939033,2962
1713781978.9446733,66
1713781978.9451373,1514
1713781978.9557629,2962
1713781978.9602864,66
1713781978.96075,66
1713781978.9612122,66
1713781978.961674,66
1713781978.9621663,2962
1713781978.9770172,66
1713781978.9774814,66
1713781978.977943,2962
1713781978.9833934,2962
1713781978.9991977,66
1713781978.9996617,2962
1713781979.0046477,66
1713781979.0051098,66
1713781979.005574,2962
1713781979.0209146,2962
1713781979.0268278,66
1713781979.027291,1514
1713781979.0379179,2962
1713781979.0421667,66
1713781979.0426319,2962
1713781979.0591714,66
1713781979.0596344,2962
1713781979.0638852,66
1713781979.0643497,66
1713781979.0648127,2962
1713781979.0808897,2962
1713781979.086066,2962
1713781979.1021419,2962
1713781979.1073198,66
1713781979.1077838,66
1713781979.108247,2962
1713781979.1233962,66
1713781979.1238604,66
1713781979.1243236,2962
1713781979.129501,66
1713781979.1299634,2962
1713781979.145577,66
1713781979.1460407,66
1713781979.146504,66
1713781979.1469672,66
1713781979.1474302,2962
1713781979.151218,66
1713781979.1516821,2962
1713781979.168684,2962
1713781979.172939,66
1713781979.1733987,66
1713781979.1738617,2962
1713781979.1899385,2962
1713781979.195115,1514
1713781979.2057424,66
1713781979.2062123,2962
1713781979.2111926,66
1713781979.2116554,66
1713781979.2121177,66
1713781979.2125819,2962
1713781979.227459,66
1713781979.2279234,2962
1713781979.2338362,2962
1713781979.249177,66
1713781979.2496407,2962
1713781979.2550888,1514
1713781979.2657168,2962
1713781979.270898,66
1713781979.271357,66
1713781979.2718205,2962
1713781979.2869709,66
1713781979.2874331,2962
1713781979.2930744,66
1713781979.2935379,2962
1713781979.3086874,66
1713781979.309151,66
1713781979.309614,66
1713781979.310077,66
1713781979.310541,66
1713781979.311004,2962
1713781979.3147907,66
