ds,y
1713793665.558472,2962
1713793665.559531,66
1713793665.5766456,2266
1713793665.576682,66
1713793665.6070807,66
1713793665.6085808,2962
1713793665.6101875,66
1713793665.6162815,2962
1713793665.6186335,66
1713793665.632584,2962
1713793665.6398828,66
1713793665.664981,66
1713793665.6708283,74
1713793665.6825635,2962
1713793665.682586,66
1713793665.6902242,66
1713793665.6989062,2962
1713793665.6989372,66
1713793665.7325351,2962
1713793665.7325606,66
1713793665.7492049,2962
1713793665.7492297,66
1713793665.76663,2962
1713793665.7666461,66
1713793665.7801611,66
1713793665.7850971,66
1713793665.8003085,2962
1713793665.8003237,66
1713793665.8079638,74
1713793665.815402,54
1713793665.8173213,2962
1713793665.8173347,66
1713793665.85064,2962
1713793665.8506556,66
1713793665.8672924,1514
1713793665.8673089,66
1713793665.87545,2962
1713793665.875469,66
1713793665.892813,2962
1713793665.892831,66
1713793665.9257762,2962
1713793665.925798,66
1713793665.9428325,2962
1713793665.9428496,66
1713793665.9765043,2962
1713793665.9765265,66
1713793665.99316,2962
1713793665.9931765,66
1713793666.0264778,2962
1713793666.0264986,66
1713793666.0431411,1514
1713793666.0431695,66
1713793666.0512917,2962
1713793666.0513108,66
1713793666.084965,2962
1713793666.0849905,66
1713793666.1016202,2962
1713793666.101645,66
1713793666.1352994,2962
1713793666.1353297,66
1713793666.1519504,2962
1713793666.151982,66
1713793666.1693206,2962
1713793666.1693547,66
1713793666.185976,2962
1713793666.1878815,66
1713793666.2030401,74
1713793666.2267375,1514
1713793666.2267585,66
1713793666.234873,2962
1713793666.2348967,66
1713793666.2515266,2962
1713793666.2515416,66
1713793666.2855918,2962
1713793666.2856052,66
1713793666.3026528,2962
1713793666.3026686,66
1713793666.319663,2962
1713793666.3196816,66
1713793666.336319,2962
1713793666.3381507,66
1713793666.3626082,74
1713793666.3654857,66
1713793666.3674073,2962
1713793666.369994,2962
1713793666.377442,2962
1713793666.3866518,1514
1713793666.3986917,66
1713793666.399151,66
1713793666.410092,66
1713793666.4304361,2962
1713793666.430474,66
1713793666.4644797,66
1713793666.4644907,2962
1713793666.491459,66
1713793666.5341842,66
1713793666.5341988,2962
1713793666.5445042,52
1713793666.5448093,74
1713793666.5584776,74
1713793666.6116776,2962
1713793666.624146,66
1713793666.6301944,66
1713793666.6303737,2962
1713793666.6304383,66
1713793666.638199,2962
1713793666.6407344,66
1713793666.6544902,2962
1713793666.6619916,66
1713793666.6708148,2962
1713793666.6813781,2962
1713793666.6868608,66
1713793666.6914165,66
1713793666.7106156,74
1713793666.7122562,2962
1713793666.7122703,66
1713793666.7459292,2962
1713793666.7459462,66
1713793666.7509847,2962
1713793666.7535853,66
1713793666.7622304,2962
1713793666.7622428,66
1713793666.7854552,66
1713793666.7854686,2962
1713793666.8122017,2962
1713793666.8122158,66
1713793666.8288624,2962
1713793666.82888,66
1713793666.8505697,74
1713793666.8542597,54
1713793666.8629365,2962
1713793666.8629622,66
1713793666.8637202,2962
1713793666.8756409,66
1713793666.8796043,2962
1713793666.879619,66
1713793666.9133022,1514
1713793666.913322,66
1713793666.9152505,66
1713793666.915263,1514
1713793666.9152644,2962
1713793666.92147,2962
1713793666.9359217,66
1713793666.9381077,2962
1713793666.9381242,66
1713793666.9845695,66
1713793666.9845824,2962
1713793666.9880862,2962
1713793666.9946146,66
1713793667.004743,2962
1713793667.004759,66
1713793667.0388067,2962
1713793667.0388231,66
1713793667.0554638,2962
1713793667.0554793,66
1713793667.0724807,2962
1713793667.0724964,66
1713793667.0880682,2962
1713793667.0945158,66
1713793667.0948842,66
1713793667.1062279,1514
1713793667.1085246,66
1713793667.1139905,2962
1713793667.1162028,66
1713793667.1315432,2962
1713793667.1321661,66
1713793667.1487284,2962
1713793667.1487637,66
1713793667.157379,2962
1713793667.1645887,66
1713793667.1816885,2962
1713793667.1817062,66
1713793667.2146523,2962
1713793667.2146747,66
1713793667.231663,2962
1713793667.231683,66
1713793667.2441707,66
1713793667.2459595,2962
1713793667.2649746,2962
1713793667.26499,66
1713793667.2812753,1514
1713793667.2812867,66
1713793667.289432,2962
1713793667.2900898,66
1713793667.2964342,2962
1713793667.3208895,66
1713793667.33125,2962
1713793667.3324823,66
1713793667.3479016,2962
1713793667.3479228,66
1713793667.3896613,2962
1713793667.3896933,66
1713793667.3991418,66
1713793667.3991501,2962
1713793667.406317,2962
1713793667.409181,66
1713793667.440341,2962
1713793667.4403703,66
1713793667.4510329,1514
1713793667.4510353,2962
1713793667.45665,2962
1713793667.467232,66
1713793667.4716854,66
1713793667.490713,1514
1713793667.4907286,66
1713793667.4937072,66
1713793667.5622442,74
1713793667.5697389,74
1713793667.571107,2962
1713793667.5724392,66
1713793667.5810318,66
1713793667.631496,66
1713793667.6400213,2962
1713793667.6472268,66
1713793667.666181,66
1713793667.6661959,1514
1713793667.666209,1514
1713793667.666353,66
1713793667.6663606,66
1713793667.6822166,2962
1713793667.6822355,66
1713793667.6984992,2962
1713793667.6985166,66
1713793667.715155,2962
1713793667.7192822,66
1713793667.7424943,74
1713793667.748119,2962
1713793667.7481353,66
1713793667.7624514,2962
1713793667.7814312,2962
1713793667.7814481,66
1713793667.7980912,2962
1713793667.7981079,66
1713793667.805747,66
1713793667.8143525,2962
1713793667.8320487,2962
1713793667.8320649,66
1713793667.8494594,2962
1713793667.8494756,66
1713793667.8571148,74
1713793667.8575108,66
1713793667.8638713,54
1713793667.8664734,2962
1713793667.8664873,66
1713793667.8994346,1514
1713793667.899449,66
1713793667.907587,2962
1713793667.9076009,66
1713793667.9242446,2962
1713793667.9242613,66
1713793667.9274638,2962
1713793667.9579146,2962
1713793667.9579308,66
1713793667.974219,2962
1713793667.9742362,66
1713793667.9797406,2962
1713793668.0048952,66
1713793668.0075722,2962
1713793668.007586,66
1713793668.0242274,2962
1713793668.0242424,66
1713793668.0576043,66
1713793668.064999,2962
1713793668.0650203,66
1713793668.0816483,1514
1713793668.081671,66
1713793668.0856404,1514
1713793668.0856438,2962
1713793668.0897982,2962
1713793668.1062965,66
1713793668.1068513,2962
1713793668.1069262,66
1713793668.1231585,2962
1713793668.1281862,66
1713793668.1382756,2962
1713793668.1479661,2962
1713793668.149443,66
1713793668.164623,2962
1713793668.1706936,66
1713793668.172277,66
1713793668.1809208,2962
1713793668.1924086,66
1713793668.197345,66
1713793668.213926,2962
1713793668.2141461,66
1713793668.2309372,1514
1713793668.2390919,2962
1713793668.2460093,66
1713793668.2521327,2962
1713793668.2707126,2962
1713793668.271693,2962
1713793668.2834206,66
1713793668.288285,2962
1713793668.2885056,66
1713793668.3046076,2962
1713793668.3097787,66
1713793668.3122702,66
1713793668.3126159,66
1713793668.3208942,2962
1713793668.331944,66
1713793668.3371978,2962
1713793668.3532043,66
1713793668.3600693,2962
1713793668.3705108,2962
1713793668.374468,66
1713793668.3868132,1514
1713793668.3945472,2962
1713793668.40458,66
1713793668.4050393,66
1713793668.4120831,66
1713793668.4257,52
1713793668.4346597,66
1713793668.4649663,2962
1713793668.4695065,66
1713793668.482756,1514
1713793668.485624,2962
1713793668.54815,66
1713793668.5655742,66
1713793668.5709622,2962
1713793668.5969102,2962
1713793668.6004639,74
1713793668.6106129,74
1713793668.6224618,66
1713793668.6302445,2962
1713793668.6303213,66
