ds,y
1713549674.897285,52
1713549675.5296824,74
1713549675.6131458,74
1713549675.6159513,66
1713549675.616736,2962
1713549675.6267662,2962
1713549675.6480203,2962
1713549675.6675975,66
1713549675.6679015,66
1713549675.668291,66
1713549675.6692712,2962
1713549675.6905246,2962
1713549675.7121186,2962
1713549675.7221985,66
1713549675.7330322,2962
1713549675.740427,66
1713549675.7542984,2962
1713549675.767572,66
1713549675.7755475,2962
1713549675.7857974,66
1713549675.7968216,2962
1713549675.8040228,66
1713549675.8180692,2962
1713549675.8222616,66
1713549675.8393126,1514
1713549675.8404796,66
1713549675.8499453,2962
1713549675.858707,66
1713549675.8712003,2962
1713549675.876934,66
1713549675.8924525,2962
1713549675.9040866,66
1713549675.9137142,2962
1713549675.9223151,66
1713549675.9349723,2962
1713549675.9405162,66
1713549675.9562004,2962
1713549675.958748,66
1713549675.9769835,66
1713549675.9774516,2962
1713549675.995423,66
1713549675.998709,1514
1713549676.0093346,2962
1713549676.0305898,2962
1713549676.040182,66
1713549676.0518444,2962
1713549676.0584276,66
1713549676.0587962,66
1713549676.0591822,66
1713549676.0730963,2962
1713549676.09115,66
1713549676.0915315,66
1713549676.0943568,2962
1713549676.0943823,66
1713549676.115609,2962
1713549676.1156344,66
1713549676.1368659,2962
1713549676.136898,66
1713549676.1581264,1514
1713549676.1687493,2962
1713549676.1687908,66
1713549676.190002,2962
1713549676.19003,66
1713549676.2112494,2962
1713549676.211268,66
1713549676.2325025,2962
1713549676.232525,66
1713549676.2537606,2962
1713549676.2537885,66
1713549676.275019,2962
1713549676.2750478,66
1713549676.2962723,2962
1713549676.2963035,66
1713549676.3175178,1514
1713549676.3214529,66
1713549676.328148,2962
1713549676.3301482,66
1713549676.3494146,2962
1713549676.3513598,66
1713549676.3706656,2962
1713549676.3723533,66
1713549676.3919055,2962
1713549676.395978,66
1713549676.4131696,2962
1713549676.4147174,66
1713549676.4344275,2962
1713549676.435915,66
1713549676.455684,2962
1713549676.4559388,66
1713549676.4769194,1514
1713549676.4875515,2962
1713549676.5088332,2962
1713549676.5300565,2962
1713549676.5383716,66
1713549676.55131,2266
1713549676.5565944,66
1713549676.5748389,66
1713549676.5930533,66
1713549676.811204,52
1713549677.0852988,66
1713549677.1287732,66
1713549677.1288095,66
1713549678.1885042,74
1713549678.246115,74
1713549678.247551,66
1713549678.2486873,2962
1713549678.2587287,2962
1713549678.2799718,2962
1713549678.2966533,66
1713549678.2969422,66
1713549678.3012462,2962
1713549678.3224864,2962
1713549678.324092,66
1713549678.342311,66
1713549678.3437324,2962
1713549678.3605416,66
1713549678.3649998,2962
1713549678.3862433,2962
1713549678.3966184,66
1713549678.407501,2962
1713549678.4148412,66
1713549678.428756,2962
1713549678.4330583,66
1713549678.4500031,2962
1713549678.4602044,66
1713549678.4713025,1514
1713549678.4785964,66
1713549678.4788098,66
1713549678.4818847,2962
1713549678.503137,2962
1713549678.5107772,66
1713549678.5111606,66
1713549678.5119116,66
1713549678.524392,2962
1713549678.524411,66
1713549678.5456543,2962
1713549678.5456817,66
1713549678.5669107,2962
1713549678.5669396,66
1713549678.588153,2962
1713549678.5881765,66
1713549678.6094162,2962
1713549678.6094456,66
1713549678.6306787,1514
1713549678.632544,66
1713549678.6413002,2962
1713549678.643375,66
1713549678.6625614,2962
1713549678.6658447,66
1713549678.6838102,2962
1713549678.6855292,66
1713549678.705065,2962
1713549678.7068207,66
1713549678.72632,2962
1713549678.7286823,66
1713549678.7475593,2962
1713549678.7495215,66
1713549678.7688205,2962
1713549678.770555,66
1713549678.7900808,1514
1713549678.800703,2962
1713549678.8027213,66
1713549678.8219488,2962
1713549678.823569,66
1713549678.8432028,2962
1713549678.8453736,66
1713549678.860455,52
1713549678.864457,2962
1713549678.864551,66
1713549678.8857117,2962
1713549678.885839,66
1713549678.9069643,2962
1713549678.9285223,2962
1713549678.9494772,1514
1713549678.955536,66
1713549678.9600973,2962
1713549678.9737604,66
1713549678.9813533,2962
1713549678.9919887,66
1713549679.0026038,2962
1713549679.010241,66
1713549679.0238688,2962
1713549679.0285244,66
1713549679.0451944,2962
1713549679.0466652,66
1713549679.0648935,66
1713549679.0663764,2962
1713549679.083123,66
1713549679.0876288,2962
1713549679.108877,1514
1713549679.1195054,2962
1713549679.1280982,66
1713549679.1285253,66
1713549679.1407557,2962
1713549679.1620169,2962
1713549679.164575,66
1713549679.1827903,66
1713549679.1832588,2266
1713549679.2010038,66
1713549679.2460017,66
1713549679.737973,66
1713549679.7518923,66
1713549679.7519124,66
1713549680.796481,52
1713549680.8543618,74
1713549680.8936558,74
1713549680.895155,66
1713549680.8959746,2962
1713549680.8970497,66
1713549680.9060183,2962
1713549680.906038,66
1713549680.9274025,2962
1713549680.9275906,66
1713549680.9485257,2962
1713549680.9485662,66
1713549680.9698339,2962
1713549680.9698892,66
1713549680.9911957,2962
1713549680.991257,66
1713549681.0123115,2962
1713549681.01235,66
1713549681.0336213,2962
1713549681.0336843,66
1713549681.0548055,2962
1713549681.0548382,66
1713549681.076117,2962
1713549681.0761492,66
1713549681.0973911,2962
1713549681.0974252,66
1713549681.1186206,1514
1713549681.118668,66
1713549681.1293828,2962
1713549681.1294155,66
1713549681.150436,2962
1713549681.150464,66
1713549681.1716816,2962
1713549681.171702,66
1713549681.1929336,2962
1713549681.1929626,66
1713549681.2141888,2962
1713549681.2142181,66
1713549681.2354443,2962
1713549681.2354696,66
1713549681.2567427,2962
1713549681.2567918,66
1713549681.278302,1514
1713549681.2798874,66
1713549681.288577,2962
1713549681.290222,66
1713549681.3098443,2962
1713549681.3119187,66
1713549681.3310833,2962
1713549681.3523345,2962
1713549681.373608,2962
1713549681.3760815,66
1713549681.3943298,66
1713549681.394968,2962
1713549681.4125202,66
1713549681.4161124,2962
1713549681.4373586,1514
1713549681.4479835,2962
1713549681.4485972,66
1713549681.4668202,66
1713549681.469243,2962
1713549681.4904883,2962
1713549681.5028853,66
1713549681.511761,2962
1713549681.5211134,66
1713549681.5329974,2962
1713549681.5482528,66
1713549681.5542603,2962
1713549681.566484,66
1713549681.5668635,66
1713549681.575506,2962
1713549681.5967584,1514
1713549681.6029394,66
1713549681.6073916,2962
1713549681.621156,66
1713549681.6286488,2962
1713549681.639382,66
1713549681.649904,2962
1713549681.6576138,66
1713549681.671145,2962
1713549681.684759,66
1713549681.6923974,2962
1713549681.7029936,66
1713549681.713679,2962
1713549681.721215,66
1713549681.7349102,2962
1713549681.7394502,66
1713549681.7561707,1514
1713549681.7576528,66
1713549681.7667885,2962
1713549681.7758968,66
1713549681.7880423,2962
1713549681.809303,2962
1713549681.8208725,66
1713549681.8305712,2266
1713549681.8390992,66
1713549681.857361,66
1713549681.8755474,66
1713549682.379996,66
1713549682.41206,66
1713549682.4120836,66
1713549683.052103,52
1713549683.5102692,74
1713549683.553762,74
1713549683.566908,66
1713549683.5753853,2962
1713549683.5776453,66
1713549683.5854328,2962
1713549683.585479,66
1713549683.606726,2962
1713549683.606854,66
1713549683.6279285,2962
1713549683.6283944,66
1713549683.649228,2962
1713549683.6493182,66
1713549683.670447,2962
