ds,y
1713856036.5069273,66
1713856036.5081463,52
1713856036.508148,66
1713856036.5081494,2962
1713856036.5128012,2962
1713856036.5265708,66
1713856036.5266056,66
1713856036.5266082,2962
1713856036.5304806,66
1713856036.5305018,2962
1713856036.5458808,66
1713856036.5458872,2962
1713856036.5522,66
1713856036.5522175,2962
1713856036.570062,66
1713856036.5700924,66
1713856036.5700946,66
1713856036.5700965,2962
1713856036.5700746,66
1713856036.5701003,2962
1713856036.5869453,2962
1713856036.5869517,66
1713856036.5869813,2962
1713856036.6012301,2962
1713856036.603201,66
1713856036.6032023,66
1713856036.6032035,66
1713856036.6038787,2962
1713856036.6202378,2962
1713856036.6253552,66
1713856036.6253574,2962
1713856036.63522,2962
1713856036.6396737,2962
1713856036.6580138,66
1713856036.6580427,66
1713856036.6580186,66
1713856036.658602,66
1713856036.6586046,2962
1713856036.6586535,1514
1713856036.6656888,2962
1713856036.6761544,2962
1713856036.6812027,66
1713856036.6812055,2962
1713856036.704254,2962
1713856036.7042494,66
1713856036.7042763,66
1713856036.7042778,1514
1713856036.7101915,2962
1713856036.7166464,66
1713856036.7224782,66
1713856036.7224982,66
1713856036.7224996,2962
1713856036.7224884,2962
1713856036.7356746,1514
1713856036.7553217,2962
1713856036.7553096,66
1713856036.7553933,1514
1713856036.7553954,2962
1713856036.7697268,66
1713856036.769788,66
1713856036.7698364,66
1713856036.7698374,66
1713856036.7698383,2962
1713856036.7828386,66
1713856036.782873,2962
1713856036.7831728,2962
1713856036.7949462,66
1713856036.7949708,66
1713856036.7949717,66
1713856036.7949724,66
1713856036.7949734,66
1713856036.7949753,2962
1713856036.8025725,66
1713856036.802576,2962
1713856036.815065,2962
1713856036.819212,66
1713856036.8204558,2962
1713856036.83156,66
1713856036.8315628,66
1713856036.831565,66
1713856036.831568,2962
1713856036.837469,66
1713856036.8406825,2962
1713856036.848303,2962
1713856036.855693,66
1713856036.8565376,2962
1713856036.866377,66
1713856036.8674028,2962
1713856036.8845234,66
1713856036.884571,66
1713856036.8845732,2962
1713856036.8845356,66
1713856036.8848329,2962
1713856036.8938315,1514
1713856036.9088323,2962
1713856036.908829,66
1713856036.9088304,2962
1713856036.9205444,66
1713856036.9212084,1514
1713856036.9212031,66
1713856036.921205,66
1713856036.9215865,2962
1713856036.9360678,2962
1713856036.9518569,2962
1713856036.9518316,1514
1713856036.951924,2962
1713856036.9679203,66
1713856036.967941,66
1713856036.967944,66
1713856036.9679463,2962
1713856036.9692647,66
1713856036.9709296,66
1713856036.9709322,1514
1713856036.9871302,66
1713856036.9871569,66
1713856036.9871576,66
1713856036.9871585,2962
1713856036.987126,2962
1713856037.0028045,2962
1713856037.0034833,66
1713856037.0043614,66
1713856037.0043628,66
1713856037.0194557,66
1713856037.01947,66
1713856037.019487,66
1713856037.019542,66
1713856037.019588,2962
1713856037.0195901,2962
1713856037.0415466,2962
1713856037.041551,2962
1713856037.0573635,2962
1713856037.0573676,66
1713856037.0600781,66
1713856037.0600812,2962
1713856037.0682235,2962
1713856037.0725985,66
1713856037.0726056,2962
1713856037.0942395,66
1713856037.0943043,66
1713856037.0943067,66
1713856037.0942466,66
1713856037.094268,66
1713856037.0942695,66
1713856037.0942705,2962
1713856037.0943732,2962
1713856037.1099675,2962
1713856037.1099796,2962
1713856037.1263478,2962
1713856037.1263518,2962
1713856037.143916,66
1713856037.1451163,2962
1713856037.1439185,66
1713856037.145118,66
1713856037.145119,66
1713856037.1451197,2962
1713856037.1609383,66
1713856037.1609395,2962
1713856037.1753435,1514
1713856037.1754036,2962
1713856037.1910505,66
1713856037.1910841,1514
1713856037.1910896,66
1713856037.1921463,2962
1713856037.1931605,66
1713856037.1931767,2962
1713856037.2094035,66
1713856037.2103968,2962
1713856037.2113504,66
1713856037.2113514,66
1713856037.212322,2962
1713856037.2326083,1514
1713856037.2326205,66
1713856037.2326376,2962
1713856037.2483296,2962
1713856037.248339,2962
1713856037.2576017,66
1713856037.2576036,2962
1713856037.2664301,2962
1713856037.2752275,66
1713856037.2754018,66
1713856037.2767465,66
1713856037.2767487,2962
1713856037.2841294,66
1713856037.2841308,66
1713856037.2850873,66
1713856037.2850897,2266
1713856037.299143,66
1713856037.2991595,74
1713856037.2991605,66
1713856037.299149,2962
1713856037.3033051,74
1713856037.305933,66
1713856037.3059402,2962
1713856037.3187084,2962
1713856037.3187168,2962
1713856037.334821,66
1713856037.3348527,66
1713856037.3348558,2962
1713856037.334828,66
1713856037.3348598,66
1713856037.3348622,2962
1713856037.3663301,2962
1713856037.3663352,2962
1713856037.3876584,66
1713856037.3875954,66
1713856037.3876276,66
1713856037.387629,74
1713856037.38763,74
1713856037.3876314,1514
1713856037.3877428,66
1713856037.3887856,2962
1713856037.4052129,66
1713856037.4052498,2962
1713856037.4070606,66
1713856037.4070616,66
1713856037.4147894,2962
1713856037.4193559,2266
1713856037.4354737,66
1713856037.4369442,2962
1713856037.4354503,66
1713856037.4369342,74
1713856037.436936,66
1713856037.437106,2962
1713856037.4544897,66
1713856037.4545295,66
1713856037.454594,66
1713856037.4547586,2962
1713856037.467337,66
1713856037.467329,2962
1713856037.4674165,66
1713856037.4754431,1514
1713856037.4826906,2962
1713856037.4827082,2962
1713856037.5025356,2962
1713856037.5024676,66
1713856037.5024958,66
1713856037.5024965,66
1713856037.5026944,66
1713856037.502778,66
