ds,y
1713856036.6580038,66
1713856036.658049,66
1713856036.6580563,66
1713856036.6586113,2962
1713856036.6586494,66
1713856036.6587484,2962
1713856036.6657388,2962
1713856036.6666734,66
1713856036.6666768,66
1713856036.6699665,66
1713856036.6761644,2962
1713856036.6802235,2962
1713856036.6831396,66
1713856036.7042472,74
1713856036.7043488,2962
1713856036.7042937,66
1713856036.7043414,66
1713856036.7043428,66
1713856036.7043445,2962
1713856036.7144866,66
1713856036.7144916,2962
1713856036.7144651,2962
1713856036.726678,2962
1713856036.7267284,2962
1713856036.7395253,66
1713856036.7553015,1514
1713856036.7553897,2962
1713856036.755314,66
1713856036.755398,2962
1713856036.7697322,66
1713856036.7697227,2962
1713856036.7697895,1514
1713856036.782845,2962
1713856036.7828503,66
1713856036.7828755,66
1713856036.7828772,66
1713856036.7828786,2962
1713856036.7949371,66
1713856036.794967,66
1713856036.7949684,2962
1713856036.7949433,2962
1713856036.8150523,66
1713856036.81508,66
1713856036.815081,66
1713856036.815082,2962
1713856036.8150568,66
1713856036.815084,2962
1713856036.825805,2962
1713856036.8258035,2962
1713856036.8361504,66
1713856036.8373594,54
1713856036.8373687,66
1713856036.8373725,66
1713856036.8373435,66
1713856036.8373501,66
1713856036.8373542,66
1713856036.8406794,2962
1713856036.8407722,2962
1713856036.851438,2962
1713856036.8517044,2962
1713856036.8655207,66
1713856036.86637,2962
1713856036.8663735,66
1713856036.8663752,2962
1713856036.8845296,66
1713856036.8845775,66
1713856036.8845797,2962
1713856036.8846393,1514
1713856036.8873034,2962
1713856036.8946037,66
1713856036.8949091,66
1713856036.902455,66
1713856036.9024765,66
1713856036.9024796,2962
1713856036.9088502,66
1713856036.9088523,2962
1713856036.9200623,2962
1713856036.9201505,2962
1713856036.9360743,66
1713856036.9361207,66
1713856036.936123,2962
1713856036.9361465,66
1713856036.9362257,66
1713856036.9363477,2962
1713856036.951849,2962
1713856036.9519556,2962
1713856036.9679065,1514
1713856036.9679346,2962
1713856036.9679646,2962
1713856036.987128,66
1713856036.9871514,66
1713856036.9871523,66
1713856036.9871535,66
1713856036.9871547,2962
1713856036.98717,66
1713856036.9871857,66
1713856036.9871876,66
1713856036.9871893,66
1713856036.9871912,2962
1713856037.002848,2962
1713856037.0028727,66
1713856037.0194974,66
1713856037.01954,66
1713856037.0194926,2962
1713856037.0196068,2962
1713856037.0416362,66
1713856037.0416422,2962
1713856037.0416298,2962
1713856037.0573573,1514
1713856037.060068,74
1713856037.060167,66
1713856037.060132,66
1713856037.0602796,2962
1713856037.0601997,2962
1713856037.0672488,66
1713856037.0675242,2962
1713856037.0726001,2962
1713856037.0942435,2962
1713856037.0942345,66
1713856037.0942814,66
1713856037.0943239,2962
1713856037.1099565,66
1713856037.1099951,66
1713856037.1100333,66
1713856037.110067,2962
1713856037.1100295,66
1713856037.1100764,2962
1713856037.1278539,2962
1713856037.1278641,66
1713856037.1278656,66
1713856037.1278672,2962
1713856037.143893,2962
1713856037.1438997,74
1713856037.1451302,1514
1713856037.1451702,2962
1713856037.1595438,74
1713856037.160878,66
1713856037.1608794,66
1713856037.1608803,66
1713856037.1608815,2962
1713856037.160911,66
1713856037.160934,66
1713856037.1609352,1514
1713856037.175363,2962
1713856037.1754246,2962
1713856037.1910672,1514
1713856037.191098,2962
1713856037.1911376,2962
1713856037.1985967,66
1713856037.1986065,2962
1713856037.2054255,66
1713856037.2054462,66
1713856037.2054477,66
1713856037.206461,2962
1713856037.2123294,66
1713856037.2132971,2962
1713856037.2325983,66
1713856037.2326343,66
1713856037.2326574,66
1713856037.2326791,2962
1713856037.232653,1514
1713856037.2991471,66
1713856037.2991793,2962
1713856037.403654,66
1713856037.4051418,1514
1713856037.4051602,2962
1713856037.4036746,66
1713856037.405166,2962
1713856037.4193597,2962
1713856037.4193506,66
1713856037.420749,66
1713856037.4207501,2962
1713856037.435502,66
1713856037.4369493,66
1713856037.4369512,66
1713856037.4369526,2962
1713856037.4354699,66
1713856037.4369411,66
1713856037.4369426,2962
1713856037.454496,66
1713856037.454535,66
1713856037.4545362,2962
1713856037.4544826,2962
1713856037.4658835,54
1713856037.4672496,66
1713856037.467251,66
1713856037.467253,2962
1713856037.4658802,2962
1713856037.4754293,1514
1713856037.4782681,2962
1713856037.482693,2962
1713856037.502449,66
1713856037.5024872,66
1713856037.5024884,2962
1713856037.5024629,2962
1713856037.5097291,2962
1713856037.5104384,66
1713856037.5107646,66
1713856037.5115557,66
1713856037.5115578,2962
1713856037.5238373,66
1713856037.5243495,66
1713856037.5253298,66
1713856037.5253444,2962
1713856037.5263495,66
1713856037.5263512,2962
1713856037.5388145,66
1713856037.5391333,2962
1713856037.5398579,2266
1713856037.5532918,2962
1713856037.5532906,66
1713856037.553308,66
1713856037.553309,2962
1713856037.569112,2962
1713856037.569108,66
1713856037.5691426,2962
1713856037.580578,2962
1713856037.5815318,66
1713856037.5820496,1514
1713856037.5887432,66
1713856037.5896997,66
1713856037.589716,2962
1713856037.6095958,2962
1713856037.609569,66
1713856037.6096103,66
